customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
7101-HRBLJ,Female,0.0,Yes,Yes,72.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),83.7,6096.9,0
5159-YFPKQ,Female,0.0,No,No,2.0,Yes,No,Fiber optic,,No,YES,No,No,No,,Yes,Electronic check,75.8,160.75,1
6635-CPNUN,Male,0.0,Yes,No,28.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,,Creit card (automatic),96.6,2684.35,0
4021-RQSNY,Male,1.0,Yes,No,29.0,Yes,Yes,Fiber optic,No,No,,No,Yes,eYs,Month-to-month,Yes,Electronic check,98.5,3004.15,1
5453-YBTWV,Male,0.0,Yes,Yes,70.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,,Credit card (automatic),101.1,6994.8,0
5039-LZRQT,Female,0.0,No,No,,Yes,No,No,No internet service,No internet service,No internte service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.2,273.25,0
2931-VUVJN,Female,1.0,Yes,No,59.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,,5483.9,0
9061-TIHDA,Male,1.0,Yes,,13.0,Yes,Yes,Fiber optic,No,NO,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2454.6492963913934,1233.65,1
8699-ASUFO,Male,1.0,Yes,No,7.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.4,527.9,1
6418-PIQSP,,0.0,,No,62.0,Yes,No,DSL,Yes,No,,Yes,Yes,Yes,Two year,No,Mailed check,81.0,485.9,0
8220-OCUFY,Female,0.0,No,oN,21.0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,,ELECTRONIC CHECK,60.25,1258.35,0
3995-WFCSM,Female,0.0,No,No,,Yes,No,DSL,No,No,Yes,,No,Yes,Month-to-month,No,,60.85,111.4,0
1895-QTKDO,,0.0,No,No,1.0,Yes,No,,,No,No,,No,No,Month-to-month,No,Credit card (automatic),43.95,43.95,0
2038-OEQZH,Male,0.0,No,No,4.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,86.05,308.1,0
1178-PZGAB,Female,0.0,No,oN,19.0,Yes,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,oN,Credit card (automatic),20.25,383.65,0
7927-AUXBZ,Female,0.0,No,No,30.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,oN,,85.15,2555.9,1
2626-VEEWG,Male,0.0,,,67.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.4,1284.2,0
2878-RMWXY,Male,1.0,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,oN,No,Yes,Two year,Yes,Credit card (automatic),102.65,7550.3,0
1657-DYMBM,Male,0.0,Yes,No,53.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet sevice,Two year,,Credit card (automatic),19.9,1110.05,0
7311-MQJCH,Female,0.0,,NO,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.55,,0
7375-WMVMT,Male,1.0,Yes,No,71.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,,Yes,Two year,Yes,Credit card (automatic),95.5,6707.15,0
1136-XGEQU,Female,0.0,Yes,Yes,50.0,Yes,Yes,DSL,No,Yes,Yes,,Yes,Yes,One year,,Credit card (automatic),84.15,4164.4,0
2530-FMFXO,,0.0,Yes,Yes,,Yes,Yes,Fiber optic,,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,103.2,5873.75,0
6844-DZKRF,Male,0.0,No,No,2.0,Yes,No,DSL,No,No,oN,Yes,No,No,Month-to-month,Yes,Credit card (automatic),50.2,109.25,0
4695-WJZUE,Female,1.0,No,No,2.0,Yes,Yes,Fiber optic,No,No,Yes,,oN,Yes,Month-to-month,Yes,Electronic check,88.55,179.25,1
7619-ODSGN,Male,0.0,Yes,Yes,24.0,Yes,Yes,DSL,Yes,No,No,No,No,No,,No,Electronic check,54.75,1338.15,1
5970-GHJAW,Male,0.0,Yes,,46.0,Yes,No,,NO INTERNET SERVICE,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,862.4,0
8879-XUAHX,Male,18.37901514654594,Yes,No,71.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronc check,116.25,8564.75,0
3689-MOZGR,Female,0.0,No,No,29.0,No,No phone service,DSL,No,oN,No,Yes,No,No,Month-to-month,Yes,Electronic check,31.2,926.2,0
4195-PNGZS,Male,0.0,,Yes,69.0,Yes,es,No,,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.45,1718.2,0
5003-XZWWO,Male,0.0,Yes,oN,71.0,Yes,,DLS,No,Yes,Yes,Yes,eYs,,Twoyear,No,,84.2,,0
3988-RQIXO,Female,,No,No,1.0,Yes,,Fiber optic,No,No,No,No,Yes,,Month-to-month,Yes,Electronic check,91.3,91.3,1
7622-FWGEW,Male,1.0,Yes,No,56.0,Yes,No,DSL,Ye,Yes,Yes,Yes,Yse,,Two year,Yes,,85.65,4824.45,0
6922-NCEDI,Male,0.0,No,Yes,56.0,Yes,No,No,,No internet service,No internet service,No internet service,,No internet service,One year,Yes,Mailed check,21.2,,0
2514-GINMM,MALE,,No,No,1.0,Yes,No,Fiber optic,,No,,NO,Yes,No,Month-to-month,Yes,,79.5,79.5,1
9891-NQDBD,Female,0.0,Yes,No,28.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.55,672.2,0
6131-IUNXN,Female,0.0,Yes,Yes,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Nointernet service,,Month-to-month,No,Mailed check,20.2,,0
8548-AWOFC,Male,0.0,Yes,No,66.0,Yes,,DSL,No,No,,Yes,No,Yes,Month-to-month,No,Electronic check,63.85,4264.6,0
9798-DRYDS,,0.0,Yes,Yes,17.0,Yes,Yes,DSL,No,No,Yes,Yes,No,oN,,,Mailed check,2121.6492963913934,1070.7,0
8532-UEFWH,Male,0.0,Yes,Yes,52.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,,25.75,1345.85,0
6296-DDOOR,Female,0.0,No,No,,Yes,No,SL,No,Yes,No,No,Yes,No,One year,No,,58.2,1045.25,0
7951-VRDVK,Female,0.0,No,No,36.0,Yes,,DSL,Yes,Yes,Yes,,Yes,Ye,One year,No,Bank transfer (automatic),85.85,3003.55,0
5931-FLJJF,Male,1.0,Yes,No,7.0,Yes,No,Fiber optic,No,No,No,,No,No,Month-to-month,Yes,Mailed check,70.1,467.55,1
4815-YOSUK,,0.0,,Yes,,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,YES,One year,Yes,Credit card (automatic),104.9,7537.5,0
2659-VXMWZ,Male,0.0,Yes,Yes,67.0,Yes,Yes,Fiber optic,Yes,Yes,,,Yes,Yes,One year,Yes,Electronic check,111.3,7482.1,1
0380-NEAVX,Male,1.0,No,No,34.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,99.85,3343.15,0
3207-OYBWH,Male,1.0,Yes,,57.0,Yes,Yes,Fiber optic,,Yes,Ys,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.25,5427.05,1
4285-GYRQC,Female,0.0,Yes,No,,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,86.25,587.1,1
7216-EWTRS,Female,1.0,Yes,No,1.0,Yes,,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,100.8,1
4365-MSDYN,Male,0.0,Yes,oN,8.0,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.55,,0
7036-TYDEC,Female,0.0,No,No,69.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,,,0
5802-ADBRC,Female,,,No,50.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Ye,Yes,One year,Yes,,,5232.9,0
8076-FEZKJ,Male,0.0,,No,10.0,Yes,oN,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,,19.5,225.85,0
5197-YPYBZ,Female,0.0,Yes,Yes,12.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,TWO YEAR,No,Credit card (automatic),,274.7,0
8337-MSSXB,Female,,No,No,14.0,Yes,No,Fiber optic,No,Yes,,No,No,,Month-to-month,Yes,Electronic check,86.3,1180.95,1
4312-GVYNH,,0.0,Yes,No,70.0,No,No phone service,DSL,Ys,No,Yes,Yes,,Yes,Two year,Yes,Bank transfer (automatic),49.85,3370.2,0
8495-LJDFO,Female,1.0,No,No,64.0,Yes,Yes,Fiber optic,Yes,No,Yes,eYs,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.95,7111.3,0
0839-JTCUD,Female,0.0,Yes,Yes,66.0,Yes,Yes,DSL,Yes,Ys,Yes,,Yes,Yes,Two year,No,Credit card (automatic),89.9,5958.85,0
5494-WOZRZ,,,Yes,,71.0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),82.0,5999.85,0
1302-UHBDD,Male,1.0,No,No,20.0,Yes,No,Fiber optic,,No,No,No,Yes,,Monh-to-month,,ELECTRONIC CHECK,89.95,,0
2234-EOFPT,Male,0.0,,No,72.0,Yes,No,,Yes,Ys,No,Yes,Yes,,,Yes,Bank transfer (automatic),79.35,,0
8619-IJNDK,Female,0.0,,,71.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,oN,Two year,No,,64.05,4492.9,0
8378-LKJAF,Male,0.0,Yes,Yes,38.0,Yes,Yes,Fiber optic,No,,Yes,,Yes,,Month-to-month,Yes,Credit card (automatic),101.15,39567,0
8182-BJDSI,Female,0.0,No,No,28.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.95,2625.55,1
2528-HFYZX,,1.0,Yes,No,17.0,Yes,No,Fiber optic,No,Yes,oN,,No,,Month-to-month,Yes,Electronic check,76.45,1233.4,1
1153-GNOLC,Male,0.0,No,oN,33.0,No,No phone service,,No,Yes,No,No,Yes,,One year,Yes,Electronic check,,1309,0
3298-QEICA,,,Yes,Yes,23.0,No,,DSL,Yes,No,No,Yes,No,No,Two year,oN,Mailed check,34.6,813.45,0
0788-DXBFY,Male,0.0,Yes,Yes,58.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,,1108.8,0
3597-YASZG,Female,1.0,Yes,No,70.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,,Yse,Two year,Yes,Bank transfer (automatic),104.45,7349.35,0
3496-LFSZU,Male,0.0,Yes,No,4.0,Yes,No,Fiber optic,,No,No,No,No,No,Month-to-month,No,Electronic check,2207.1492963913934,294.2,0
5242-UOWHD,Male,,Yes,Yes,45.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,aMiled check,20.35,929.2,0
2482-CZGBB,Male,0.0,No,No,10.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,,1
6479-SZPLM,Male,0.0,Yes,Yes,36.0,Yes,No,No,NO INTERNET SERVICE,No internet service,No internet service,,,,Two year,No,Credit card (automatic),19.45,754.5,0
8097-VBQTZ,Male,0.0,No,No,54.0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,,Mailed check,69.9,3883.3,0
4500-HKANN,Male,0.0,Yes,,23.0,Yes,Yes,DSL,oN,Yes,No,Yes,No,No,Two year,No,Mailed check,59.7,1414.2,0
9917-KWRBE,Female,0.0,Yes,Yes,41.0,Yes,Yes,DSL,Yes,Yes,Yes,oN,Yes,No,One year,Yes,,78.35,3211.2,0
3420-ZDBMA,Male,1.0,No,oN,5.0,Yes,NO,Fiber optic,,No,No,No,No,No,,Yes,Mailed check,71.45,371.6,0
2212-LYASK,Male,0.0,Yes,eYs,27.0,No,No phone service,DSL,No,Yes,Yes,No,No,YES,One year,Yes,Credit card (automatic),45.85,1246.4,0
1393-IMKZG,Female,0.0,No,No,1.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.85,95.85,0
8069-RHUXK,Female,0.0,,Yes,67.0,No,No phone service,,Yes,No,No,Yes,No,No,,No,,35.7,2545.7,0
3398-GCPMU,Female,,Yes,YES,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,,Yes,Two year,Yes,Credit card (automatic),89.55,6448.85,0
2908-WGAXL,Female,,Yes,Yes,56.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Two year,Yes,Crdit card (automatic),1751.6492963913934,1468.9,0
3378-AJRAO,Male,0.0,Yes,Yes,44.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,,24.85,1013.6,0
1013-QCWAM,Female,28.37901514654594,,No,66.0,Yes,Yes,,No,Yes,No,No,Yes,Yes,Month-to-month,,Electronic check,100.8,6690.75,0
0866-QLSIR,Female,0.0,No,No,34.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,,Mailed check,64.4,2088.75,1
6050-FFXES,Female,0.0,Yes,No,69.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),2555.6492963913934,7240.65,0
7181-BQYBV,Female,,Yes,Yes,1.0,Yes,eYs,Fiber optic,Yes,No,,No,Yes,Yes,Month-to-month,Yes,,102.45,102.45,1
0362-RAOQO,Female,0.0,No,No,40.0,Yes,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,,19.65,830.25,0
9554-DFKIC,,0.0,Yes,Yes,30.0,Yes,Yes,DSL,Yes,No,No,No,No,,Month-to-month,,Bank transfer (automatic),,1588.7,0
5527-ACHSO,Female,0.0,No,No,11.0,Yes,No,DSL,,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,70.5,829.3,0
0829-DDVLK,Female,0.0,oN,No,15.0,Yes,No,No,No internet service,No internet service,No internet service,No internet serice,No internet service,No internet service,,,Credit card (automatic),20.1,302.45,0
1399-UBQIU,Male,0.0,No,No,11.0,Yes,No,DSL,No,No,Ye,,Yes,,,,Electronic check,69.35,712.25,0
1813-JLKWR,Female,0.0,,YES,64.0,Yes,No,No,No internet service,No internet service,,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),1700.1492963913934,,0
0336-PIKEI,MALE,1.0,es,No,72.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),,5360.75,0
7322-OCWHC,,,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,,Yes,No,No,Two year,Yes,Bank transfer (automatic),93.05,,0
9537-VHDTA,,0.0,No,Yes,1.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,51.2,51.2,0
4957-TIALW,Female,0.0,No,Yes,15.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),2158.1492963913934,1010,0
2054-PJOCK,Female,0.0,,,60.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),,4847.05,0
9150-HEPMB,Mael,0.0,No,NO,56.0,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,oN,Mailed check,,3019.7,0
9030-QGZNL,,,,,8.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.85,161.65,0
6204-IEUXJ,Female,0.0,No,No,3.0,Yes,No,Fiber optic,No,,Yes,Yes,No,No,,No,Credit card (automatic),80.1,217.55,1
3126-WQMGH,Female,0.0,Yes,No,49.0,Yes,Yes,DSL,,No,No,No,No,No,Month-to-month,Yes,,52.15,2583.75,0
4529-CKBCL,Female,0.0,No,,1248.5376145222538,Yes,No,Fiber optic,No,NO,No,No,Yes,No,,YES,Electronic check,80.2,,1
2506-CLAKW,Female,0.0,,No,6.0,Yes,No,Fiber optic,,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.15,567.45,1
7176-WRTNX,Male,0.0,No,No,,Yes,,Fiber optic,Yes,Yes,Yes,,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.95,,0
1583-IHQZE,Male,0.0,No,No,12.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,112.95,,1
5732-IKGQH,Male,1.0,Yes,oN,52.0,Yes,No,Fiber optic,,No,Yes,,eYs,Yes,One year,Yes,Bank transfer (automatic),104.45,5481.25,0
9239-GZHZE,Female,0.0,Yes,,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,,,Yes,,113.65,8124.2,0
7205-BAIAD,emale,0.0,No,No,40.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.6,872.3,0
0151-ONTOV,Female,0.0,No,No,1.0,Yes,No,Fiber optic,No,No,No,,No,,,No,Mailed check,70.9,70.9,1
4140-MUHUG,eFmale,1.0,No,No,3.0,Yes,,Fiber optic,No,No,Yes,No,Ys,No,,Yes,Electronic check,86.85,220.95,1
0093-EXYQL,Female,1.0,No,No,,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,36736,0
8064-RAVOH,Male,0.0,No,Yes,1.0,Yes,No,DSL,No,No,Yes,No,No,No,Mont-to-month,Yes,Electronic check,49.85,49.85,0
0219-QAERP,Male,0.0,Yes,oN,1528.5376145222538,Yes,No,No,No intenret service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,576.65,0
0320-JDNQG,,0.0,Yes,Yes,23.0,Yes,No,Fiber optic,Yes,No,No,,eYs,Yes,Monh-to-month,Yes,Electronci check,99.85,,1
7180-PISOG,Male,0.0,Yes,Yes,1.0,Yes,YES,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,ELECTRONIC CHECK,74.5,74.5,1
9168-INPSZ,Female,1.0,Yes,No,44.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,104.15,4495.65,0
3571-RFHAR,Male,0.0,No,No,,Yes,Yes,FIBER OPTIC,No,Yes,Yes,Yes,,YES,Month-to-month,Yes,Electronic check,109.15,6941.2,1
0015-UOCOJ,Femal,1.0,No,No,7.0,Yes,No,DSL,Yes,,No,No,No,No,Month-to-mnoth,Yes,Electronic check,48.2,340.35,0
5334-AFQJB,Male,1.0,No,No,,Yes,Yes,No,No internet service,,,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.1,1789.9,0
2754-SDJRD,Female,1.0,No,No,8.0,Yes,Yes,Fiber optic,No,No,NO,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,,0
9578-VRMNM,Female,0.0,,No,16.0,Yes,,DSL,No,NO,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),65.2,1043.35,1
1587-FKLZB,Male,1.0,Yes,Yes,,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,,Yes,Credit card (automatic),99.5,6822.15,1
6140-QNRQQ,Male,0.0,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,,71.55,71.55,1
8963-JLGJT,MALE,0.0,No,Yes,3.0,Yes,No,DSL,Yes,,Yes,No,No,No,Month-to-month,No,Mailed check,55.9,157.55,0
4307-KTUMW,Male,0.0,Yes,No,,Yes,Yes,Fiberoptic,Yes,No,Yes,,No,Yes,Month-to-month,No,Electronic check,93.9,5029.2,1
1465-LNTLJ,Male,1.0,Yes,,8.0,Yes,No,DSL,No,No,,Yes,No,Yes,Month-to-month,YES,Credit card (automatic),64.4,581.7,0
5440-FLBQG,Male,1.0,Yes,oN,,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,,Bank transfer (automatic),108.4,7318.2,1
2135-DQWAQ,Female,0.0,No,,5.0,Yes,,Fiber optic,No,Yes,No,No,,No,Month-to-month,Yes,Mailed check,85.3,,0
4056-QHXHZ,Female,,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yse,No,Yes,Yes,Yes,,Two year,No,Mailed check,107.45,7576.7,0
7470-MCQTK,Female,0.0,Yes,No,13.0,No,No phone service,DSL,No,No,Yes,No,,Yes,Month-to-month,,Bank transfer (automatic),48.75,633.4,1
7488-MXJIV,Female,0.0,No,No,1268.5376145222538,Yes,Yes,Fiber optic,No,No,,No,,No,,Yes,Electronic check,,321.65,1
7401-JIXNM,Female,0.0,Yes,Yes,54.0,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),91.3,4965,0
9339-FIIJL,Male,0.0,,No,72.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),,6151.9,0
2027-FECZV,MALE,0.0,No,No,12.0,Yes,Yes,Fiber optic,No,Yes,YES,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.7,1253.9,1
2672-DZUOY,Male,0.0,No,No,1.0,No,No phone service,DSL,No,No,,No,No,No,,Yes,Electronic check,25.15,25.15,1
4706-DGAHW,Male,1.0,No,No,1.0,Yes,No,DSL,No,,No,No,No,No,Month-to-month,No,Electronic check,45.2,45.2,0
3870-MQAMG,,,Yes,,54.0,Yes,YES,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One yar,No,Electronic check,110.35,5893.15,1
6670-MFRPK,,0.0,Yes,Yes,69.0,Yes,Yes,Fiber otic,No,No,,,No,No,Two year,Yes,Credit card (automatic),,5420.65,0
6177-PEVRA,Female,0.0,No,No,1708.5376145222538,Yes,No,,,Yes,oN,No,No,No,Two year,No,Credit card (automatic),55.5,2627.35,0
4800-CZMPC,Female,0.0,Yes,Yes,48.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),103.25,5037.55,1
4813-HQMGZ,Female,0.0,,No,8.0,Yes,Yes,Fiber optic,No,NO,No,Yes,No,Yes,,Yes,Electronic check,90.25,,0
7579-KKLOE,Male,0.0,Yes,Yes,71.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,91.25,6589.6,0
7377-DMMRI,Male,,No,No,2.0,Yes,No,DSL,Yes,No,,No,No,No,,Yes,Electronic check,,92.45,1
8402-EIVQS,,0.0,Yes,No,,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,,Yes,Credit card (automatic),100.9,6733.15,0
4947-DSMXK,Male,0.0,Ye,,34.0,Yes,Yes,,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.7,3410,0
7245-NIIWQ,Female,0.0,oN,oN,3.0,Yes,No,Fiber optic,No,No,No,No,No,No,,Yes,Electronic check,69.85,199.85,0
0002-ORFBO,Female,0.0,Yes,Yes,9.0,Yes,No,DSL,NO,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,0
3324-OIRTO,Male,18.37901514654594,Yes,Yes,71.0,Yes,No,Fiber optic,Yes,Yes,Yes,oN,,Yes,One year,Yes,Bank transfer (automatic),104.65,7288.4,0
5414-OFQCB,Male,0.0,No,No,57.0,Yes,Yes,Fiber optic,,No,No,Yes,Yes,No,Two year,eYs,Credit card (automatic),90.45,5229.8,0
4967-WPNCF,Male,0.0,oN,No,72.0,No,No phone service,DSL,Ys,Yes,Yes,Yes,Yes,Yes,,Yes,Bank transfer (automatic),63.7,4464.8,0
8552-OBVRU,Female,1.0,Yes,Yes,48.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,YES,Yes,Month-to-month,Yes,Electronic check,104.5,5068.05,0
8499-BRXTD,Male,0.0,No,No,18.0,Yes,No,No,No internet service,No internet service,,No internet service,No internet service,No internet service,,No,Mailed check,20.1,,0
9154-QDGTH,Mle,0.0,Yes,Yes,43.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.3,4451.85,0
8197-BFWVU,Female,0.0,,Yes,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,YES,Two year,Yes,Bank transfer (automatic),93.25,6688.95,0
2577-GVSIL,Male,,Yes,Yes,35.0,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),73.45,2661.1,0
9367-OIUXP,Male,0.0,oN,No,4.0,Yes,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,73.05,0
6770-UAYGJ,FEMALE,0.0,Yes,YES,49.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,,No internet service,Two year,No,Mailed check,25.25,1211.65,0
6463-HHXJR,Female,0.0,Yes,Yes,71.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),100.5,7030.65,0
7928-VJYAB,Male,18.37901514654594,,Yes,11.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,,,Electronic check,90.6,1020.2,0
1187-WILMM,Male,0.0,Yes,Yes,63.0,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Two year,Yes,Credit card (automatic),89.4,5597.65,0
9776-OJUZI,,1.0,No,No,65.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.45,6223.3,0
1306-RPWXZ,,,No,Yes,49.0,Yes,No,oN,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,,20.45,1024.65,0
8949-JTMAY,Female,0.0,No,No,29.0,Yes,Ys,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.6,2933.2,1
2774-LVQUS,,1.0,Yes,No,15.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,,No,Month-to-month,Yes,Electronic check,83.05,1258.3,1
3097-PYWXL,Female,0.0,Yes,Yes,4.0,Yes,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.95,82.9,0
2266-SJNAT,Female,0.0,Ys,No,72.0,Yes,Yes,Fiber optic,No,,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),109.15,7789.6,0
0869-PAPRP,Female,,Yes,No,26.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),,2067,0
4238-JSSWH,Female,1.0,Yes,No,,Yes,Yes,,No,,,No,,Yes,Month-to-month,No,Bank transfer (automatic),102.05,3452.55,0
2972-YDYUW,Female,0.0,No,No,57.0,Yes,Yes,Fiber optic,NO,,No,Yes,No,,One year,NO,Electronic check,,5468.95,0
1104-FEJAM,Male,0.0,Yes,Yes,28.0,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,64.4,1802.15,0
