person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
26.0,34000,,1.0,MEDICAL,A,8500.0,7.88,0.0,0.25,N,3.0
22.0,30000,,4.0,HOMEIMPROVEMENT,D,8500.0,,1.0,,Y,
23.0,45000,MORTGAGE,4.0,VENTURE,B,4725.0,11.99,0.0,0.1,N,221.97373313795518
22.0,39000,,,HOMEIMPROVEMENT,A,5500.0,5.99,,0.14,N,4.0
25.0,38400,RENT,297.32559472570597,VENTRE,B,8500.0,10.99,0.0,0.22,N,2.0
538.1938274525821,40000,RENT,,PERSONAL,C,400651.2915151717,14.35,0.0,0.21,Y,2.0
24.0,45000,MORTGAGE,6.0,HOMEIMPROVEMENT,A,4075.0,5.42,0.0,0.09,N,3.0
23.0,34000,RENT,5.0,VENTURE,C,8500.0,13.92,1.0,,N,3.0
26.0,45000,MORTGAGE,10.0,HOMEIMPROVEMENT,C,14125.0,13.99,0.0,0.31,Y,2.0
26.0,40500,RENT,,DEBTCONSOLIDATION,A,8500.0,7.88,0.0,0.21,N,2.0
21.0,42000,RENT,5.0,DEBTCONSOLIDATION,A,8500.0,7.51,,0.2,N,4.0
26.0,39000,MORTGAGE,0.0,DEBTCONSOLIDATION,D,5600.0,16.49,1.0,,,3.0
25.0,45000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,10000.0,261.824613390021,0.0,0.22,N,
,45000,MORTGAGE,8.0,VENTURE,B,,10.99,0.0,0.29,N,
24.0,39000,MORTGAGE,,,C,5000.0,,1.0,0.13,N,3.0
23.0,45000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,6000.0,7.49,0.0,0.13,N,3.0
23.0,42000,RENT,0.0,EDUCATION,A,8500.0,6.92,0.0,0.2,N,3.0
22.0,42000,RENT,237.32559472570594,EDUCATION,B,8500.0,12.53,0.0,0.2,N,4.0
26.0,42000,RENT,0.0,MEDICAL,B,8500.0,11.14,0.0,,N,4.0
,42996,RENT,10.0,MEDICAL,B,8500.0,10.2,0.0,0.2,N,2.0
21.0,43000,RENT,5.0,,D,8500.0,317.72461339002103,0.0,0.2,N,
26.0,45000,MORTGAGE,6.0,VENTURE,A,5000.0,6.99,0.0,,N,2.0
22.0,44000,RENT,4.0,VENTURE,A,8500.0,5.42,0.0,0.19,N,4.0
,44000,RENT,0.0,MEDICAL,A,8500.0,,0.0,0.19,N,4.0
25.0,39000,RENT,2.0,VENTURE,C,8500.0,13.23,1.0,0.22,Y,
25.0,45000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,4000.0,6.62,,0.09,N,
25.0,47000,RENT,1.0,EDUCATION,A,8500.0,8.9,0.0,0.18,N,4.0
26.0,45000,MORTGAGE,9.0,VENTURE,D,10000.0,16.89,0.0,0.22,N,4.0
25.0,47000,RENT,8.0,DEBTCONSOLIDATION,B,8500.0,10.37,,,N,4.0
23.0,45000,OWN,,EDUCATION,C,15000.0,14.79,0.0,0.33,N,4.0
24.0,49232,RENT,8.0,EDUCATION,A,8500.0,6.54,0.0,,N,4.0
21.0,45000,,,MEDICAL,B,,10.99,0.0,,N,
25.0,44000,RENT,9.0,MEDICAL,C,8500.0,,1.0,0.19,N,4.0
21.0,50000,,5.0,VENTRUE,B,8500.0,10.65,0.0,0.17,N,2.0
21.0,44000,RENT,5.0,DEBTCONSOLIDATION,B,8500.0,11.49,1.0,0.19,N,2.0
26.0,45000,MORTGAGE,5.0,PERSONAL,A,14650.0,236.82461339002103,0.0,0.33,N,2.0
25.0,50000,RENT,7.0,,,8500.0,15.7,0.0,0.17,,
,52582,RENT,5.0,,B,400651.2915151717,10.62,0.0,0.16,N,2.0
22.0,46968,RENT,1.0,PERSONAL,C,8500.0,,1.0,0.18,N,
24.0,45000,MORTGAGE,8.0,PERSONAL,A,4000.0,,0.0,0.09,N,221.97373313795518
24.0,45000,OWN,4.0,VENTURE,A,11000.0,7.49,0.0,0.24,N,2.0
24.0,55000,RENT,5.0,DEBTCONSOLIDATION,B,8500.0,9.88,0.0,0.15,N,2.0
25.0,55000,RENT,,MEDICAL,,8500.0,14.22,0.0,0.15,N,2.0
24.0,45000,MORTGAGE,2.0,PERSONAL,A,7200.0,7.29,0.0,0.16,N,4.0
26.0,59000,RENT,2.0,PERSONAL,B,8500.0,11.83,0.0,0.14,N,4.0
21.0,60996,RENT,,VENTURE,B,,,,0.14,N,
23.0,45000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,7000.0,5.42,0.0,0.16,N,3.0
,62500,RENT,3.0,EDUCATION,A,8500.0,7.88,0.0,0.14,,4.0
528.1938274525821,45000,,0.0,DEBTCONSOLIDATION,A,6250.0,5.42,0.0,0.14,N,
25.0,63996,RENT,2.0,VENTURE,,8500.0,11.89,0.0,0.13,N,4.0
22.0,45000,MORTGAGE,3.0,EDUCATION,C,3000.0,,0.0,,N,4.0
23.0,65000,,6.0,DEBTCONSOLIDATION,C,8500.0,13.35,0.0,0.13,Y,2.0
23.0,65000,RENT,3.0,MEDICAL,B,8500.0,12.21,0.0,0.13,N,2.0
23.0,66200,RENT,5.0,PERSONAL,A,8500.0,,,0.13,N,2.0
25.0,45000,MORTGAGE,2.0,MEDICAL,A,345651.2915151717,6.92,0.0,0.07,N,3.0
,74000,RENT,6.0,VENTURE,B,,11.71,0.0,,N,4.0
25.0,69000,,,HOMEIMPROVEMENT,A,8500.0,6.92,1.0,0.12,N,4.0
22.0,21040,RENT,,EDUCATION,B,8450.0,,,0.4,N,4.0
23.0,38500,RNT,1.0,EDUCATION,B,8450.0,10.62,0.0,0.22,N,
24.0,45000,MORTGAGE,8.0,EDUCATION,A,,5.79,0.0,0.11,N,2.0
22.0,100000,,,EDUCATION,C,8450.0,12.99,0.0,0.08,Y,2.0
24.0,45000,MORTGAGE,3.0,VENTURE,C,15000.0,13.06,0.0,0.33,N,3.0
558.1938274525821,45000,MORTGAGE,8.0,MEDICAL,A,5000.0,5.79,0.0,,N,3.0
22.0,25000,RENT,2.0,EDUCATION,A,8400.0,6.62,,0.34,N,2.0
22.0,45000,MORTGAGE,207.32559472570594,MEDICAL,A,9125.0,5.79,0.0,0.2,N,3.0
23.0,30000,RENT,0.0,MEDICAL,C,8400.0,14.65,0.0,8.152991506026522,N,3.0
26.0,52000,RENT,,PERSONAL,B,5000.0,10.59,0.0,0.1,N,3.0
23.0,52000,,1.0,PERSONAL,A,5000.0,7.49,0.0,0.1,N,3.0
,52000,RENT,1.0,,A,5000.0,6.99,20.65193366464861,0.1,,4.0
,45000,MORTGAGE,,EDUCATION,B,10000.0,11.11,0.0,0.22,N,3.0
24.0,52728,RENT,4.0,PERSONAL,A,5000.0,7.74,0.0,0.09,N,
22.0,53000,,6.0,EDUCATION,B,5000.0,9.91,0.0,0.09,N,2.0
22.0,53000,RENT,0.0,EDUCATIN,A,5000.0,7.9,0.0,0.09,N,4.0
24.0,45000,OWN,8.0,HOMEIMPROVEMENT,A,10000.0,,0.0,,N,3.0
,45000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,3000.0,9.99,0.0,0.07,N,241.97373313795518
568.1938274525821,45000,MORTGAGE,0.0,DEBTCONSOLIDATION,,4325.0,6.91,0.0,0.1,N,3.0
23.0,45000,MORTGAGE,0.0,,A,1450.0,,0.0,0.03,N,2.0
25.0,45000,MORTGAGE,9.0,,,4000.0,9.25,0.0,0.09,N,3.0
25.0,53000,RENT,3.0,HOMEIMPROVEMENT,C,5000.0,12.53,,,Y,
26.0,53500,RENT,1.0,PERSONAL,B,5000.0,12.18,0.0,0.09,N,3.0
23.0,53760,RENT,,EDUCATION,C,5000.0,13.43,0.0,,N,4.0
26.0,54000,RENT,,EDUCATION,B,5000.0,10.0,0.0,0.09,N,2.0
25.0,54000,RENT,5.0,PERSONAL,B,5000.0,12.21,0.0,0.09,N,4.0
22.0,45000,MORTGAGE,5.0,DEBTCONSOLIDATION,,5000.0,12.61,,0.11,,2.0
24.0,45000,MORTGAGE,,PERSONAL,A,415651.2915151717,5.79,0.0,0.22,N,4.0
23.0,54860,RENT,0.0,PERSONAL,C,5000.0,14.17,,0.09,N,4.0
26.0,54996,RENT,3.0,HOMEIMPROVEMENT,B,5000.0,11.86,0.0,0.09,N,2.0
26.0,45000,MORTGAGE,10.0,DEBTCONSOLIDATION,A,10000.0,,0.0,,N,4.0
22.0,54996,RENT,,EDUCATION,C,5000.0,12.54,0.0,0.09,,3.0
24.0,54996,RENT,0.0,HOMEIMPROVEMENT,B,365651.2915151717,10.39,0.0,0.09,N,2.0
22.0,49000,RENT,1.0,EDUCATION,D,,15.62,1.0,6.352991506026522,Y,
25.0,45000,OWN,9.0,MEDICAL,A,3000.0,6.17,0.0,0.07,N,4.0
22.0,55000,RENT,6.0,EDUCATION,,5000.0,6.91,0.0,0.09,N,
26.0,55000,RENT,3.0,VENTURE,C,5000.0,13.48,0.0,0.09,Y,
25.0,55000,RENT,3.0,DEBTCONSOLIDATION,C,5000.0,,0.0,0.09,Y,4.0
22.0,55000,RENT,3.0,EDUCATION,C,5000.0,,0.0,0.09,,3.0
24.0,55000,,4.0,VENTURE,A,5000.0,8.0,0.0,0.09,N,3.0
,55272,RENT,5.0,VENTURE,A,5000.0,5.42,0.0,0.09,N,231.97373313795518
24.0,56000,RENT,8.0,PERSONAL,C,5000.0,14.27,0.0,6.252991506026522,N,4.0
26.0,56000,RENT,7.0,PERSONAL,A,,7.91,0.0,0.09,N,2.0
,45000,,6.0,EDUCATION,A,4750.0,6.39,0.0,0.11,N,2.0
24.0,50000,RENT,,HOMEIMPROVEMENT,D,5000.0,15.62,1.0,0.1,N,4.0
22.0,45000,OWN,,EDUCATION,A,,6.76,0.0,0.13,N,
25.0,56000,RENT,,DEBTCONSOLIDATION,,5000.0,,0.0,0.09,N,4.0
22.0,45000,MORTGAGE,,EDUCATION,A,,7.88,0.0,0.22,N,4.0
23.0,56016,RENT,4.0,EDUCATION,E,5000.0,313.22461339002103,0.0,0.09,N,3.0
21.0,45000,,257.32559472570597,PERSONAL,A,,7.14,0.0,0.09,N,3.0
26.0,51000,RENT,10.0,MEDICAL,B,5000.0,12.42,1.0,0.1,N,4.0
24.0,51000,RENT,2.0,,D,5000.0,14.74,1.0,0.1,Y,2.0
26.0,51600,RENT,1.0,HOMEIMPROVEMENT,A,5000.0,8.94,1.0,0.1,,2.0
24.0,57692,RENT,2.0,HOMEIMPROVEMENT,C,5000.0,13.23,0.0,6.252991506026522,Y,3.0
24.0,57996,RENT,1.0,HOMEIMPROVEMENT,A,5000.0,8.0,0.0,0.09,N,3.0
24.0,57996,RENT,4.0,HOMEIMPROVEMENT,D,,,0.0,0.09,N,
24.0,58000,RENT,5.0,,A,5000.0,7.49,0.0,0.09,N,2.0
22.0,58000,,4.0,PERSONAL,C,5000.0,,0.0,0.09,N,2.0
,45000,MORTGAGE,1.0,MEDICAL,B,7200.0,11.86,0.0,0.16,N,2.0
21.0,45000,MORTGAGE,,MEDICAL,A,4500.0,7.14,0.0,0.1,N,2.0
25.0,45000,MORTGAGE,,MEDICAL,A,5000.0,,0.0,,N,3.0
23.0,58000,RENT,4.0,PERSONAL,C,5000.0,13.16,0.0,0.09,N,3.0
24.0,45000,MORTGAGE,257.32559472570597,EDUCATION,A,5000.0,,0.0,,N,4.0
24.0,45000,MORTGAGE,0.0,VENTURE,A,6000.0,7.88,0.0,0.13,N,3.0
21.0,45000,MORTGAGE,4.0,EDUCATION,A,5000.0,7.14,,0.11,N,4.0
25.0,58296,RENT,9.0,DEBTCONSOLIDATION,A,5000.0,6.17,0.0,0.09,N,
22.0,58380,RENT,2.0,VENTURE,C,5000.0,12.29,0.0,0.09,N,3.0
26.0,45000,MORTGAGE,3.0,EDUCATION,,4000.0,14.35,0.0,0.09,Y,2.0
24.0,58800,RENT,5.0,HOMEIMPROVEMENT,,5000.0,7.29,0.0,0.09,N,231.97373313795518
25.0,58800,RENT,4.0,EDUCATION,D,5000.0,14.84,,0.09,N,2.0
22.0,52880,RENT,6.0,MEDICAL,D,5000.0,14.59,30.65193366464861,0.09,N,4.0
21.0,45000,MORTGAGE,5.0,EDUCATION,,18000.0,7.88,0.0,0.4,N,4.0
26.0,58979,RENT,2.0,DEBTCONSOLIDATION,A,,9.32,0.0,0.08,N,3.0
26.0,53000,RENT,4.0,DEBTCONSOLIDATION,D,5000.0,15.95,1.0,0.09,Y,2.0
22.0,59317,RENT,5.0,VENTURE,,5000.0,11.48,0.0,0.08,N,4.0
21.0,59800,RENT,5.0,,B,,11.36,0.0,0.08,N,3.0
24.0,45000,MORTGAGE,4.0,MEDICAL,A,1500.0,,20.65193366464861,0.03,N,2.0
22.0,45000,MORTGAGE,3.0,EDUCATION,B,,11.36,0.0,0.33,N,2.0
23.0,45000,MORTGAGE,7.0,VENTURE,A,5000.0,6.76,0.0,0.11,N,3.0
26.0,45000,,10.0,PERSONAL,A,,6.76,20.65193366464861,0.03,N,4.0
23.0,60000,RENT,7.0,,C,5000.0,,,0.08,N,2.0
22.0,54000,RENT,6.0,DEBTCONSOLIDATION,D,5000.0,17.27,1.0,0.09,Y,2.0
21.0,45000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,8000.0,7.51,0.0,,,4.0
23.0,60000,RENT,5.0,VENTURE,D,5000.0,16.49,,0.08,Y,2.0
24.0,60000,RENT,2.0,MEDICAL,C,5000.0,13.99,0.0,0.08,Y,2.0
24.0,45000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,4200.0,7.14,0.0,0.09,N,2.0
23.0,60000,RENT,6.0,,A,5000.0,6.99,0.0,0.08,N,3.0
21.0,60000,RENT,2.0,,A,5000.0,8.49,,0.08,N,241.97373313795518
,60000,RENT,10.0,VENTURE,B,,10.99,0.0,0.08,N,
23.0,60000,RENT,2.0,DEBTCONSOLIDATION,A,5000.0,,0.0,0.08,N,3.0
21.0,45000,MORTGAG,5.0,PERSONAL,A,10000.0,,0.0,0.22,N,2.0
23.0,60000,RENT,2.0,VENTURE,A,5000.0,6.91,0.0,0.08,N,4.0
25.0,60000,RENT,8.0,HOMEIMPROVEMENT,D,5000.0,,0.0,0.08,N,4.0
22.0,45000,MORTGAGE,1.0,EDUCATION,B,3300.0,,0.0,0.07,N,3.0
22.0,54000,RENT,1.0,DEBTCONSOLIDATION,A,,,1.0,,N,3.0
26.0,60000,RENT,0.0,PERSONAL,A,5000.0,7.14,0.0,0.08,N,2.0
23.0,60000,RENT,4.0,PERSONAL,C,5000.0,13.98,0.0,0.08,Y,2.0
24.0,39000,MORTGAGE,2.0,HOMEIMPROVEMENT,C,16000.0,14.22,,,N,4.0
23.0,45000,MORTGAGE,4.0,EDUCATION,C,460651.2915151717,,0.0,0.32,Y,
22.0,60000,RENT,,PERSONAL,C,5000.0,14.22,0.0,0.08,N,4.0
25.0,45000,,5.0,VENTURE,B,10400.0,10.25,0.0,0.23,N,3.0
22.0,54000,RENT,4.0,EDUCATION,E,5000.0,16.35,1.0,0.09,Y,3.0
23.0,54000,RENT,7.0,EDUCATION,C,5000.0,12.84,1.0,,Y,2.0
22.0,45000,MORTGAGE,4.0,PERSONAL,C,5000.0,13.48,0.0,0.11,Y,4.0
24.0,60996,RENT,,HOMEIMPROVEMENT,A,5000.0,,0.0,,N,2.0
22.0,61000,RENT,3.0,MEDICAL,B,5000.0,9.99,0.0,0.08,N,2.0
24.0,45000,MORTGAGE,,HOMEIMPROVEMENT,B,13000.0,10.62,0.0,0.29,N,2.0
24.0,45000,MORTGAGE,3.0,EDUCATION,B,1275.0,11.36,0.0,0.03,N,4.0
22.0,61000,RENT,2.0,VENTURE,A,5000.0,7.66,0.0,0.08,N,3.0
,62000,RNET,0.0,EDUCATION,,5000.0,7.49,0.0,0.08,N,3.0
568.1938274525821,62000,RENT,297.32559472570597,,A,5000.0,,,0.08,N,2.0
22.0,62400,,2.0,VENTURE,B,5000.0,,0.0,0.08,N,3.0
25.0,62400,RENT,5.0,VENTURE,A,5000.0,7.51,0.0,0.08,N,2.0
25.0,63000,RENT,9.0,,B,5000.0,10.74,0.0,0.08,N,3.0
23.0,63000,RENT,7.0,EDUCATION,C,5000.0,13.23,0.0,0.08,Y,4.0
22.0,63000,RENT,2.0,DEBTCONSOLIDATION,A,5000.0,7.74,0.0,0.08,N,3.0
23.0,45000,MORTGAGE,5.0,EDUCATION,B,14500.0,11.48,0.0,0.32,N,2.0
24.0,63000,RENT,2.0,EDUCATION,A,5000.0,9.32,0.0,0.08,,4.0
23.0,63800,,7.0,EDUCATION,B,5000.0,9.99,,0.08,N,4.0
25.0,64000,RENT,9.0,EDUCATION,D,5000.0,15.33,0.0,0.08,Y,4.0
568.1938274525821,45000,MORTGAGE,3.0,EDUCATION,B,6000.0,11.83,0.0,0.13,N,2.0
24.0,64151,RENT,0.0,VENTURE,B,5000.0,11.86,0.0,0.08,N,
,64424,RENT,3.0,PERSONAL,A,5000.0,6.03,0.0,0.08,N,4.0
26.0,45000,MORTGAGE,0.0,HOMEIMPROVEMENT,C,4000.0,13.92,0.0,0.09,N,2.0
24.0,64600,RENT,2.0,DEBTCONSOLIDATION,A,5000.0,240.92461339002102,0.0,0.08,N,4.0
25.0,45000,OWN,1.0,,C,10000.0,12.87,0.0,0.22,Y,2.0
23.0,45000,MORTGAGE,2.0,PERSONAL,A,3000.0,7.05,0.0,0.07,N,3.0
26.0,65000,RENT,0.0,PERSONAL,,5000.0,5.99,0.0,0.08,N,3.0
22.0,65000,RENT,3.0,EDUCATION,B,5000.0,11.49,0.0,0.08,N,3.0
25.0,59000,,0.0,MEDICAL,D,5000.0,15.62,1.0,0.08,Y,3.0
22.0,45000,MORTGAGE,3.0,EDUCATION,B,4000.0,11.83,0.0,0.09,,3.0
25.0,45000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,4000.0,8.59,0.0,0.09,N,
22.0,45000,MORTGAGE,6.0,VENTURE,A,7000.0,,0.0,0.16,,3.0
23.0,39000,MORTGAGE,7.0,,,16000.0,14.26,1.0,0.41,N,
25.0,45000,MORTGAGE,0.0,MEDICAL,A,5950.0,7.74,0.0,0.13,N,2.0
23.0,65000,RENT,2.0,VENTURE,A,5000.0,5.42,0.0,0.08,N,2.0
,45000,MORTGAGE,1.0,,B,14550.0,11.83,0.0,0.32,N,
,65000,RENT,3.0,MEDICAL,C,,13.98,0.0,0.08,Y,2.0
22.0,45000,MORTGAGE,1.0,,B,8000.0,12.53,0.0,0.18,N,3.0
21.0,59000,RENT,4.0,MEDICAL,C,,14.22,1.0,,N,3.0
,45000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,3200.0,7.74,0.0,0.07,N,3.0
26.0,45000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,1500.0,7.05,,0.03,N,2.0
23.0,45000,MORTGAGE,4.0,EDUCATION,B,9925.0,,0.0,0.22,N,2.0
24.0,65000,RENT,1.0,HOMEIMPROVEMENT,B,5000.0,264.424613390021,0.0,0.08,N,2.0
23.0,65000,,3.0,EDUCATION,C,5000.0,13.47,0.0,0.08,Y,2.0
22.0,59004,,3.0,EDUCATION,B,5000.0,11.11,1.0,0.08,N,3.0
23.0,45000,OWN,0.0,VENTURE,C,8000.0,12.84,0.0,0.18,,2.0
25.0,45000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,2700.0,,,0.06,Y,4.0
23.0,39000,,0.0,,D,8000.0,14.11,1.0,0.21,N,3.0
23.0,45000,MORTGAGE,1.0,,B,10000.0,12.21,0.0,0.22,N,2.0
23.0,45000,OWN,3.0,MEDICAL,,7000.0,9.63,0.0,0.16,N,3.0
22.0,45000,MORGTAGE,6.0,,A,5000.0,8.0,0.0,0.11,N,3.0
23.0,66000,RENT,7.0,VENTURE,B,5000.0,10.39,0.0,0.08,N,3.0
26.0,45000,MORTGAGE,2.0,VENTURE,B,12000.0,,0.0,0.27,N,3.0
24.0,45000,MORTGAGE,2.0,EDUCATION,B,9200.0,11.89,0.0,,N,3.0
26.0,45000,MORTGAGE,10.0,MEDICAL,B,4325.0,,,0.1,,
24.0,39000,MORTGAGE,1.0,EDUCATION,D,12000.0,14.11,1.0,0.31,N,2.0
24.0,67200,RENT,4.0,EDUCATION,B,365651.2915151717,,0.0,0.07,,4.0
,67500,RENT,2.0,DEBTCONSOLIDATION,A,,7.74,0.0,0.07,N,
26.0,67500,,1.0,MEDICAL,,5000.0,12.18,0.0,6.0529915060265225,N,3.0
25.0,45000,,,VENTURE,B,17000.0,11.89,0.0,0.38,N,2.0
23.0,67596,RETN,2.0,PERSONAL,B,5000.0,11.86,0.0,0.07,N,241.97373313795518
24.0,45000,MORTGAGE,,VENTURE,A,3600.0,,0.0,0.08,N,2.0
23.0,45000,MORTGAGE,3.0,EDUCATION,C,16750.0,12.53,0.0,0.37,Y,3.0
26.0,45000,MORTGAGE,0.0,MEDICAL,C,7750.0,12.53,0.0,0.17,Y,4.0
22.0,68000,RENT,7.0,PERSOANL,B,5000.0,9.99,0.0,0.07,N,3.0
24.0,68648,RENT,,VENTURE,B,5000.0,10.99,0.0,0.07,N,2.0
23.0,63900,RENT,7.0,DEBTCONSOLIDATION,D,,,,0.08,N,2.0
24.0,69996,RENT,7.0,DEBTCONSOLIDATION,B,5000.0,10.38,0.0,0.07,,4.0
25.0,70000,RENT,0.0,EDUCATION,B,5000.0,11.71,0.0,0.07,N,3.0
26.0,70000,RENT,3.0,PERSONAL,D,5000.0,,0.0,0.07,Y,3.0
23.0,54400,RENT,2.0,MEDICAL,D,365651.2915151717,16.49,1.0,0.08,N,4.0
23.0,45000,OWN,4.0,PERSONAL,D,6400.0,,0.0,0.14,Y,3.0
26.0,70000,RENT,3.0,EDUCATION,E,5000.0,17.39,,0.07,N,2.0
22.0,70500,RENT,1.0,VENTURE,,5000.0,,20.65193366464861,0.07,N,4.0
,71000,,5.0,MEDICAL,B,5000.0,,0.0,0.07,N,3.0
,55488,RENT,4.0,MEDICAL,D,5000.0,15.21,1.0,0.08,N,2.0
22.0,71400,RENT,,,C,5000.0,12.99,0.0,0.07,Y,4.0
22.0,39000,,1.0,VENTURE,F,5000.0,,1.0,0.13,Y,4.0
26.0,72000,RENT,0.0,VENTURE,A,5000.0,7.49,0.0,0.07,,241.97373313795518
22.0,45000,MORTGAGE,1.0,EDUATION,A,7375.0,9.32,0.0,0.16,N,4.0
22.0,72000,RENT,1.0,MEDICAL,,5000.0,11.49,0.0,0.07,,3.0
26.0,39000,MORTGAGE,4.0,DEBTCONSOLIDATION,D,5000.0,13.67,1.0,6.652991506026522,N,3.0
22.0,72000,RENT,6.0,PERSONAL,D,5000.0,,0.0,6.0529915060265225,,3.0
24.0,72000,,6.0,MEDICAL,A,365651.2915151717,,,0.07,N,3.0
23.0,45000,,1.0,,B,8000.0,10.51,,0.18,N,4.0
25.0,56950,RENT,9.0,MEDICAL,C,5000.0,13.92,1.0,0.07,N,4.0
24.0,73000,RENT,,DEBTCONSOLIDATION,B,5000.0,9.01,0.0,0.07,N,
,73500,RENT,3.0,OMEIMPROVEMENT,C,5000.0,12.99,0.0,0.07,N,4.0
24.0,74000,RENT,2.0,MEDICAL,A,5000.0,,0.0,0.07,N,241.97373313795518
26.0,74500,,8.0,VENTURE,B,,11.36,0.0,0.07,N,2.0
23.0,75000,RENT,4.0,VENTURE,B,5000.0,,0.0,0.07,N,3.0
24.0,45000,OTHER,8.0,MEDICAL,A,7500.0,8.32,0.0,,,3.0
25.0,45000,MORTGAGE,7.0,EDUCATION,A,7500.0,8.0,0.0,0.17,N,
23.0,69000,RENT,4.0,PERSONAL,A,5000.0,7.49,1.0,0.07,N,2.0
23.0,75000,RENT,7.0,DUCATION,A,5000.0,7.49,0.0,0.07,N,3.0
22.0,75000,RNET,5.0,VENTURE,B,5000.0,11.49,0.0,0.07,,3.0
22.0,75000,RENT,2.0,VENTURE,B,5000.0,10.99,0.0,0.07,N,2.0
26.0,45000,OWN,2.0,MEDICAL,,385651.2915151717,,0.0,6.952991506026523,N,3.0
22.0,39000,,0.0,EDUCATION,F,25000.0,16.08,1.0,0.64,N,3.0
23.0,45000,OWN,207.32559472570594,VENTURE,B,21000.0,9.76,0.0,0.47,,3.0
22.0,75000,RENT,2.0,DEBTCONSOLIDATION,A,5000.0,5.79,0.0,0.07,N,2.0
25.0,45000,OWN,1.0,HOMEIMPROVEMENT,C,9000.0,11.03,20.65193366464861,0.2,N,2.0
25.0,45000,MORTGAGE,0.0,VENTURE,B,7500.0,10.39,0.0,0.17,N,3.0
,75000,RENT,,PERSONAL,C,5000.0,11.78,0.0,0.07,Y,2.0
25.0,45000,,0.0,EDUCATION,,6500.0,10.28,0.0,0.14,Y,2.0
25.0,76000,RENT,1.0,DEBTCONSOLIDATION,A,5000.0,7.9,0.0,0.07,N,3.0
25.0,76000,RENT,0.0,DEBTCONSOLIDATION,A,,8.9,0.0,0.07,N,2.0
,76344,RENT,,HOMEIMPROVEMENT,A,5000.0,9.63,0.0,0.07,N,2.0
25.0,45149,,,EDUCATON,A,9000.0,5.79,0.0,0.2,N,4.0
,76500,RENT,4.0,DEBTCONSOLIDATION,C,5000.0,,0.0,0.07,N,3.0
25.0,78000,RENT,3.0,DEBTCONSOLIDATION,A,5000.0,7.66,0.0,0.06,N,
21.0,45192,MORTGAGE,0.0,PERSONAL,B,11700.0,10.74,0.0,0.26,N,2.0
24.0,78300,,0.0,HOMEIMPROVEMENT,A,5000.0,7.74,0.0,0.06,,3.0
26.0,39200,MORTGAGE,2.0,MEDICAL,D,4000.0,15.05,1.0,0.1,N,3.0
23.0,80000,RENT,5.0,,B,5000.0,12.42,0.0,0.06,N,4.0
23.0,45204,MORTGAGE,0.0,EDUCATION,B,4750.0,12.21,0.0,0.11,N,4.0
24.0,74000,RENT,6.0,EDUCATION,C,5000.0,15.27,1.0,0.07,N,4.0
22.0,74000,RENT,3.0,DEBTCONSOLIDATION,,5000.0,13.49,1.0,,Y,4.0
23.0,45288,MORTGAGE,7.0,,B,20500.0,9.25,,0.45,N,2.0
23.0,39292,MORTGAGE,3.0,PERSONAL,A,3250.0,,1.0,,N,4.0
23.0,80000,RENT,6.0,PERSONAL,A,5000.0,5.42,0.0,0.06,,2.0
23.0,45300,MORTGAGE,3.0,EDUCATION,D,5550.0,15.37,0.0,0.12,Y,3.0
23.0,62900,RENT,,MEDICAL,D,5000.0,14.84,1.0,0.07,N,4.0
,39325,MORTGAGE,3.0,EDUCATION,C,2800.0,12.87,1.0,0.07,N,4.0
24.0,45336,MORTGAGE,8.0,MEDICAL,A,,5.99,0.0,0.22,N,2.0
,81000,RENT,6.0,MEDICAL,,5000.0,,0.0,0.06,,3.0
23.0,45378,,7.0,PERSONAL,A,,,0.0,0.13,N,221.97373313795518
21.0,45432,,4.0,EDUCATION,B,5000.0,,0.0,,,
24.0,83100,RENT,5.0,HOMEIMPROVEMENT,E,5000.0,16.35,0.0,0.06,N,3.0
22.0,84996,RENT,6.0,VENTURE,C,5000.0,12.23,0.0,0.06,Y,3.0
26.0,73000,RENT,0.0,EDUCATION,D,,15.31,1.0,0.07,Y,2.0
23.0,45500,OWN,5.0,EDUCATION,C,455651.2915151717,14.72,0.0,0.31,,2.0
26.0,39500,MORTGAGE,6.0,MEDICAL,D,15250.0,15.05,1.0,9.252991506026522,N,4.0
23.0,85000,RENT,2.0,EDUCATION,B,5000.0,11.58,0.0,0.06,N,4.0
21.0,45600,MORTGAGE,5.0,MEDICAL,A,6000.0,6.03,0.0,0.13,N,
23.0,45600,,7.0,EDUCATION,A,14000.0,7.9,0.0,0.31,N,3.0
23.0,85272,,7.0,VENTURE,B,5000.0,11.11,0.0,0.06,N,4.0
